image,caption
./images/train/0.jpg,A sunset is reflected in the side mirror of a car.
./images/train/1.jpg,"A dining table with plates of food including; fried chicken, spaghetti, and pork."
./images/train/10.jpg,"Internet users said that despite her age, she looked more youthful than them. (Photo courtesy of Fan Bingbing's Weibo account"
./images/train/100.jpg,"A colorful mountain range with reds, yellows, and browns."
./images/train/1000.jpg,"A model wearing a red pleated dress, wide brimmed hat, and red boots."
./images/train/1001.jpg,A woman sitting on a wall in a desert.
./images/train/1002.jpg,a set of stairs in the middle of a forest
./images/train/1003.jpg,A person standing on a mountain top with a stunning mountain range in the background.
./images/train/1004.jpg,A woman sitting on a grassy hill overlooking a lake and mountains.
./images/train/1005.jpg,A brick wall with a lot of variation in the brick size
./images/train/1006.jpg,Two baskets filled with different kinds of bread.
./images/train/1007.jpg,A white church steeple with a black roof against a bright blue sky.
./images/train/1008.jpg,iPhone wallpaper of a Chinese temple at night with three lanterns hanging.
./images/train/1009.jpg,A boat carrying firewood in the river
./images/train/101.jpg,"The old town of Vieste, in Puglia, at sunset"
./images/train/1010.jpg,A field of green lotus leaves in the city
./images/train/1011.jpg,A dish with six wooden spoons on it.
./images/train/1012.jpg,An Asian-style pavilion and bridge in a park.
./images/train/1013.jpg,The interior of a home in the village of Xidi.
./images/train/1014.jpg,A waterfall surrounded by trees and rocks.
./images/train/1015.jpg,"The fenghuang ancient city at night, Hunan, China"
./images/train/1016.jpg,A plate of food with steak and vegetables.
./images/train/1017.jpg,The photo shows an empty square in front of a low building with a curved roof.
./images/train/1018.jpg,A picture of a bamboo stick with Chinese characters on it.
./images/train/1019.jpg,A beautiful sky with clouds and buildings in the foreground
./images/train/102.jpg,A grove of aspen trees in yellow fall foliage in a desert valley.
./images/train/1020.jpg,A landscape of a mountain with a green grass-covered field and a few trees.
./images/train/1021.jpg,The sky during sunset
./images/train/1022.jpg,Pink and blue sunset sky with a sliver of moon.
./images/train/1023.jpg,The picture shows a misty morning in a typical Chinese garden.
./images/train/1024.jpg,The ancient pavilion stands tall with a flight of stairs leading up to it.
./images/train/1025.jpg,"The path along the pond is lit by colorful lights, illuminating the scene."
./images/train/1026.jpg,A fluffy orange and white cat sleeping on a small table next to a pink chair.
./images/train/1027.jpg,A close-up of a branch of a木兰树 with a few white flowers and some green leaves.
./images/train/1028.jpg,A night time shot of a pond with a building and trees in the background.
./images/train/1029.jpg,A boat is brightly lit up at night on the river.
./images/train/103.jpg,A breadboard with a lot of wires connected to it
./images/train/1030.jpg,A decorative lamp hanging in a tree.
./images/train/1031.jpg,"A plate with various foods including donuts, rice, and broccoli."
./images/train/1032.jpg,"A shopping bag with a Chinese slogan that says, ""If you can't drink alcohol, at least drink coffee"""
./images/train/1033.jpg,"A wooden table with a cup of coffee, a tea set, and a green plant."
./images/train/1034.jpg,A beautiful morning view of the campus
./images/train/1035.jpg,"Aerial view of the West Lake cherry blossoms, with the traditional Chinese garden and surrounding trees in full bloom."
./images/train/1036.jpg,A square surrounded by trees with pink flowers and a pond in the middle.
./images/train/1037.jpg,Sunlight reflecting on the water
./images/train/1038.jpg,A pink lotus flower surrounded by green leaves.
./images/train/1039.jpg,A cafe with tables and chairs outside.
./images/train/104.jpg,The arch bridge
./images/train/1040.jpg,The tree in the foreground has red leaves and a green guardrail is behind it.
./images/train/1041.jpg,"The night view of the river is very beautiful, with blue lights on both sides of the river reflecting the water and creating an amazing visual effect."
./images/train/1042.jpg,A picture of the inside of a church with sunlight coming through the stained glass windows.
./images/train/1043.jpg,The TV tower is very tall and brightly lit up at night.
./images/train/1044.jpg,The sun setting behind a row of trees.
./images/train/1045.jpg,The bright orange flowers on the tree branch contrast beautifully with the blue sky in the background.
./images/train/1046.jpg,"Snow-covered Great Wall of China, a UNESCO World Heritage Site, looks stunning against the backdrop of mountains and the blue sky."
./images/train/1047.jpg,Aerial view of a frozen meadow and forest.
./images/train/1048.jpg,硼砂湖是塔里木盆地著名的风景点之一，位于和田县南部29公里的喀群乡，湖面海拔3100米以上，湖水主要依靠地下水补给，属封闭性高山湖泊。
./images/train/1049.jpg,A fence with green plants in the background.
./images/train/105.jpg,"A river winds through a forest of trees in the fall, with a small bridge crossing the river."
./images/train/1050.jpg,A pink lotus flower with its stem on the ground
./images/train/1051.jpg,A tree with many colorful hanging lanterns.
./images/train/1052.jpg,A pond in a Chinese garden surrounded by traditional Chinese buildings
./images/train/1053.jpg,The tree has not yet blossomed.
./images/train/1054.jpg,"A clay pan with shrimp, clams, and green onions."
./images/train/1055.jpg,A glass of coffee on a wooden table.
./images/train/1056.jpg,The sunset in the reflection of a car mirror
./images/train/1058.jpg,"The Nam Co, or ""Heavenly Lake"", is located at an altitude of 5,010 meters and is about 15 kilometers long and 3 kilometers wide."
./images/train/1059.jpg,"A bowl of food with meat, noodles, and vegetables."
./images/train/106.jpg,A close-up of the frozen lake surface with cracks and gold lights shining through
./images/train/1060.jpg,The outdoor seating of a starbucks.
./images/train/1061.jpg,A house in the middle of the forest
./images/train/1062.jpg,A large metal cauldron sitting on three legs with writing on it.
./images/train/1063.jpg,A pond with a pink water lily blooming in the center surrounded by green lily pads.
./images/train/1064.jpg,A vase filled with pale pink roses with a blurred dining table in the background.
./images/train/1065.jpg,A tree branch with multiple pink flowers.
./images/train/1066.jpg,A circuit board with a lot of components on it
./images/train/1067.jpg,A cluster of pink cherry blossoms
./images/train/1068.jpg,A high-speed train travels through a sea of blooming pink flowers in a mountain area.
./images/train/1069.jpg,"The Namtso Lake in the picture is located in the西部 of Tibet, and it is the highest saltwater lake in the world. The average altitude is above sea level, and the highest point is 4,800 meters. It is also one of the two largest freshwater lakes in Tibet (the other one is Yamdrok Lake)."
