image,caption
./images/val/2002.jpg,"a group of turkeys in a pen
"
./images/val/2003.jpg,"a goat standing on a rock in a zoo
"
./images/val/2004.jpg,"a person holding a chopstick
"
./images/val/2005.jpg,"a city skyline with buildings and a moon in the sky
"
./images/val/2006.jpg,"a cat sitting on a window sill with a bottle of shampoo
"
./images/val/2007.jpg,"a cat sitting on a desk with a computer monitor
"
./images/val/2008.jpg,"snow covered trees and a pagoda in the background
"
./images/val/2009.jpg,"people walking around a snowy park with trees and a pagoda
"
./images/val/2010.jpg,"magnolia trees in bloom in a park
"
./images/val/2011.jpg,"a view of a park with cherry trees and a road
"
./images/val/2012.jpg,"people walking along a sidewalk with trees in the background
"
./images/val/2013.jpg,"a pagoda lit up at night in china
"
./images/val/2014.jpg,"a man is giving a presentation in front of a screen
"
./images/val/2015.jpg,"a large outdoor market with people walking around
"
./images/val/2016.jpg,"three men sitting at a table in an office
"
./images/val/2017.jpg,"a family of people sitting on a bus with a child in a pink shirt
"
./images/val/2018.jpg,"a book with chinese writing on it is open
"
./images/val/2019.jpg,"christmas decorations and gifts on a shelf
"
./images/val/2020.jpg,"a person in a green costume walking down a road
"
./images/val/2021.jpg,"a screenshot of the app showing the price of a pair of shoes
"
./images/val/2022.jpg,"a phone with a camera and a screen showing a picture
"
./images/val/2023.jpg,"a group of people sitting around a table with laptops
"
./images/val/2024.jpg,"a sign that says ""no parking"" is on the ground
"
./images/val/2025.jpg,"a group of children posing for a photo in front of a screen
"
./images/val/2026.jpg,"a group of people posing for a photo in front of a building
"
./images/val/2027.jpg,"a plate of food on a table
"
./images/val/2028.jpg,"a glass of ice cream with a straw in it
"
./images/val/2029.jpg,"a group of birds standing in a grassy area
"
./images/val/2030.jpg,"a bear sitting on a tree branch in a zoo
"
./images/val/2031.jpg,"a rhino is standing in the dirt
"
./images/val/2032.jpg,"a group of animals in a zoo
"
./images/val/2033.jpg,"a group of giraffes eating leaves from a tree
"
./images/val/2034.jpg,"a digital oscilloscope with a blue line on it
"
./images/val/2035.jpg,"a presentation is shown on a screen in chinese
"
./images/val/2036.jpg,"a presentation is being given in chinese with a gold coin
"
./images/val/2037.jpg,"a presentation on the topic of s - developmental strategies
"
./images/val/2038.jpg,"a presentation is shown on a screen with chinese characters
"
./images/val/2039.jpg,"outlines for the research question
"
./images/val/2040.jpg,"2 8 guidelines for improving your writing technique
"
./images/val/2041.jpg,"a white board with a text on it that says you are not alone
"
./images/val/2042.jpg,"a screen with text on it that says, eight guidelines for improving your writing technique
"
./images/val/2043.jpg,"a monument in the middle of a bridge at night
"
./images/val/2044.jpg,"a city skyline at night with many tall buildings
"
./images/val/2045.jpg,"a drink with a slice of lemon and a slice of orange on top
"
./images/val/2046.jpg,"two cats sitting on a ledge
"
./images/val/2047.jpg,"a man in a kitchen
"
./images/val/2048.jpg,"a sunset over a city with buildings and clouds
"
./images/val/2049.jpg,"a ray of light
"
./images/val/2050.jpg,"a small animal laying in hay
"
./images/val/2051.jpg,"a person wearing a hoodie
"
./images/val/2052.jpg,"a large tree with a large rock in the middle
"
./images/val/2053.jpg,"a brown alpaca standing in front of a door
"
./images/val/2054.jpg,"a field of colorful flowers in the middle of a forest
"
./images/val/2055.jpg,"a cat is sleeping on a box on the floor
"
./images/val/2056.jpg,"a man sitting on a bench in a park
"
./images/val/2057.jpg,"a small apartment with a couch, table and chair
"
./images/val/2058.jpg,"a large stage with a large screen and a large crowd
"
./images/val/2059.jpg,"a large crowd of people at a stadium
"
./images/val/2060.jpg,"a large screen with a band playing on it
"
./images/val/2061.jpg,"a cloudy sky with a few trees in the foreground
"
./images/val/2062.jpg,"a group of flamingos standing in a field
"
./images/val/2063.jpg,"a person holding a pink phone case with a ticket
"
