image,caption
./images/train/0.jpg,"a car's side mirror is reflecting the sunset
"
./images/train/1.jpg,"two plates with food on them and a fork
"
./images/train/10.jpg,"a woman in a hat and white shirt standing in the ocean
"
./images/train/100.jpg,"the painted hills of petrified forest, arizona
"
./images/train/1000.jpg,"a woman in a red dress and hat posing for a photo
"
./images/train/1001.jpg,"a woman sitting on a wall in front of a palm tree
"
./images/train/1002.jpg,"a dark forest with stairs leading up to the trees
"
./images/train/1003.jpg,"a person standing on top of a mountain with the sun setting
"
./images/train/1004.jpg,woman sitting on grass by lake with mountains in background by julia krüger for
./images/train/1005.jpg,"a brick wall with a few bricks on it
"
./images/train/1006.jpg,"basket of breads and other food on a table
"
./images/train/1007.jpg,"the castle of the dukes of württemberg
"
./images/train/1008.jpg,"a building with many lanterns hanging from the roof
"
./images/train/1009.jpg,"two boats floating in the water
"
./images/train/101.jpg,"the sunset over the sea and buildings in italy
"
./images/train/1010.jpg,"a large field of lotus leaves in front of tall buildings
"
./images/train/1011.jpg,"a dish with wooden spoons on top of a table
"
./images/train/1012.jpg,"a pagoda in a park with a pond and stairs
"
./images/train/1013.jpg,"a room with chairs and a fire pit with meat hanging from the ceiling
"
./images/train/1014.jpg,"a waterfall in the jungle
"
./images/train/1015.jpg,"a river with a fountain and buildings in the background
"
./images/train/1016.jpg,"a plate of food with a fork and a knife
"
./images/train/1017.jpg,"a large pond in front of a building with a sun shining
"
./images/train/1018.jpg,"a wooden pencil with a chinese character on it
"
./images/train/1019.jpg,"a view of the sky from a building
"
./images/train/102.jpg,"a beautiful landscape with yellow trees and blue sky
"
./images/train/1020.jpg,"the view from the top of the terraces
"
./images/train/1021.jpg,"a sunset with clouds and a pink sky
"
./images/train/1022.jpg,"a sunset with clouds and a moon in the sky
"
./images/train/1023.jpg,"a pond with a stone bridge and a tree
"
./images/train/1024.jpg,"a chinese pagoda with stairs leading up to it
"
./images/train/1025.jpg,"a walkway with purple lights and trees
"
./images/train/1026.jpg,"a cat sleeping on a wooden table
"
./images/train/1027.jpg,"a white flower is blooming on a tree near a building
"
./images/train/1028.jpg,"a night time photo of a pond and a building
"
./images/train/1029.jpg,"a boat with lights on it
"
./images/train/103.jpg,"a circuit board with wires and a timer on it
"
./images/train/1030.jpg,"a lamp with a colorful design hanging from a tree
"
./images/train/1031.jpg,"a plate with food on it and a cup of coffee
"
./images/train/1032.jpg,"a red and white bag
"
./images/train/1033.jpg,"a table with a coffee pot, a tea pot, a tea cup, a tea pot"
./images/train/1034.jpg,"the sun is shining through the fog in a park
"
./images/train/1035.jpg,"an aerial view of a park with pink trees
"
./images/train/1036.jpg,"an aerial view of a pagoda in the middle of a park
"
./images/train/1037.jpg,"sunlight reflecting on water with leaves and branches
"
./images/train/1038.jpg,"a pink lotus flower blooming in the middle of green leaves
"
./images/train/1039.jpg,"a restaurant with tables and chairs outside
"
./images/train/104.jpg,"a stone bridge over a river with storm clouds in the background
"
./images/train/1040.jpg,"a tree with red leaves
"
./images/train/1041.jpg,"a lake with water and lights at night
"
./images/train/1042.jpg,"a church with purple and pink stained glass windows
"
./images/train/1043.jpg,"the tower is lit up in rainbow colors
"
./images/train/1044.jpg,"a sunset over a city with bare trees
"
./images/train/1045.jpg,"a tree with orange flowers and leaves
"
./images/train/1046.jpg,"the great wall of china
"
./images/train/1047.jpg,"an aerial view of a hill with trees and grass
"
./images/train/1048.jpg,"a lake with mountains and clouds reflected in it
"
./images/train/1049.jpg,"a wooden fence with a wooden post and some plants
"
./images/train/105.jpg,"aerial view of a bridge over a river in the fall
"
./images/train/1050.jpg,"a pink lotus flower in the mud
"
./images/train/1051.jpg,"a group of colorful kites hanging from trees
"
./images/train/1052.jpg,"a small pond in front of a building with wooden benches
"
./images/train/1053.jpg,"magnolia blossoms in the park
"
./images/train/1054.jpg,"a bowl of food with a spoon in it
"
./images/train/1055.jpg,"a cup of coffee sitting on a table next to a laptop
"
./images/train/1056.jpg,"a car mirror with a reflection of a road
"
./images/train/1058.jpg,"a large body of water
"
./images/train/1059.jpg,"a bowl of food with meat, vegetables and an egg
"
./images/train/106.jpg,"a close up of ice crystals on a blue surface
"
./images/train/1060.jpg,"a restaurant with tables and chairs outside
"
./images/train/1061.jpg,"a large house surrounded by trees in the woods
"
./images/train/1062.jpg,"a large black pot sitting on a pedestal in a park
"
./images/train/1063.jpg,"a pink lotus flower in a pond with green leaves
"
./images/train/1064.jpg,"a vase of pink roses sitting on a table
"
./images/train/1065.jpg,"magnolia trees in bloom in a park
"
./images/train/1066.jpg,"a close up of a computer board with a clock
"
./images/train/1067.jpg,"cherry blossom, pink, cherry blossom, cherry blossom, cherry blossom"
./images/train/1068.jpg,"a train traveling through a pink blossomed field
"
./images/train/1069.jpg,"a view of the lake and mountains from above
"
./images/train/107.jpg,"a baby seal rolling around on the sand
"
./images/train/1070.jpg,"a boat is floating in the middle of a lake
"
./images/train/1071.jpg,"a pink lotus flower blooming in the sun
"
./images/train/1072.jpg,"a bouquet of red roses sitting on a table
"
./images/train/1073.jpg,"a stone path leads up to a wooden house in the woods
"
./images/train/1074.jpg,"a pagoda in the evening with a lake and mountains in the background
"
./images/train/1075.jpg,"red roses in a vase on a table
"
./images/train/1076.jpg,"magnolia trees in bloom in a park
"
./images/train/1077.jpg,"the atrium of the mall
"
./images/train/1078.jpg,"a pathway lit up at night with trees and lights
"
./images/train/1079.jpg,"a black cat sitting in the grass
"
./images/train/108.jpg,"a rainbow is reflected in the water of a lake
"
./images/train/1080.jpg,"a pink and white cafe with a cherry tree in the middle
"
./images/train/1081.jpg,"a car driving on a snowy road with a traffic light
"
./images/train/1082.jpg,"a flower blooms in front of a mountain and lake
"
./images/train/1083.jpg,"a view of the mountains from above
"
./images/train/1084.jpg,"a bench with a bench seat and a bench seat
"
./images/train/1085.jpg,"a building with a roof
"
./images/train/1086.jpg,"a plate of meat on a table with a cup of tea
"
./images/train/1087.jpg,"a river with rocks and water
"
./images/train/1088.jpg,"water lilies in the pond
"
./images/train/1089.jpg,"the sun shines brightly on the mountains in the background
"
./images/train/109.jpg,"people walking around in a city square with construction cranes
"
./images/train/1090.jpg,"a white cat laying on the floor
"
./images/train/1091.jpg,"people walking along a sidewalk at night in front of a tall building
"
./images/train/1092.jpg,"a cat sitting on a brick walkway next to a bike rack
"
./images/train/1093.jpg,"a keyboard and a computer on a table
"
./images/train/1094.jpg,"a close up of a computer screen showing the time
"
./images/train/1095.jpg,"a blue shelf with a light on it
"
./images/train/1096.jpg,"a close up of a monitor showing an oscilloscope
"
./images/train/1097.jpg,"a bridge over a river with pink water and mountains in the background
"
./images/train/1098.jpg,"a seagull flying over the water
"
./images/train/1099.jpg,"a tree with green fruits on it
"
./images/train/11.jpg,"a man on a skateboard doing a trick
"
./images/train/110.jpg,"two people walking down a path with cherry blossoms
"
./images/train/1100.jpg,"ice cream in a freezer
"
./images/train/1101.jpg,"a pagoda in the middle of a park
"
./images/train/1102.jpg,"a view of a lush green valley with mountains in the background
"
./images/train/1103.jpg,"a boat is floating in a green river
"
./images/train/1104.jpg,"two orange lanterns hanging from a tree
"
./images/train/1105.jpg,"a digital oscilloscope with a waveform on it
"
./images/train/1106.jpg,"footprints in the snow
"
./images/train/1107.jpg,"a beautiful landscape with pink trees and mountains
"
./images/train/1108.jpg,"a drum is sitting on a table with a bowl underneath it
"
./images/train/1109.jpg,"a crowd of people in a room looking at a display of chinese art
"
./images/train/111.jpg,a man with glasses and a guitar is sitting in front of a poster with chinese characters
./images/train/1110.jpg,"a display case with a vase on top of it
"
./images/train/1111.jpg,"a window in a building
"
./images/train/1112.jpg,"a street with a lot of people walking by
"
./images/train/1113.jpg,"a plane flying over a city at sunset
"
./images/train/1114.jpg,"a large red leather barrel on display in a museum
"
./images/train/1115.jpg,"a woman playing an acoustic guitar on stage
"
./images/train/1116.jpg,"a city street at night with a large illuminated sign
"
./images/train/1117.jpg,"a large building with a sign that says k11
"
./images/train/1118.jpg,"a large white building
"
./images/train/1119.jpg,"a display case with several stone objects on display
"
./images/train/112.jpg,"people are walking around in a city at night
"
./images/train/1120.jpg,"people are standing in a room with a blue ball hanging from the ceiling
"
./images/train/1121.jpg,"people are sitting at a table in a blue room
"
./images/train/1122.jpg,"a statue of a deer with antlers on display
"
./images/train/1123.jpg,"a white bird in a cage
"
./images/train/1124.jpg,"a statue of a deer on display in a museum
"
./images/train/1125.jpg,"a person holding a phone with a flashlight on it
"
./images/train/1126.jpg,"a white box with a number of lines on it
"
./images/train/1127.jpg,"a cat is standing in a glass case
"
./images/train/1128.jpg,"people are standing outside of a building with a large glass wall
"
./images/train/1129.jpg,"a display of armor and weapons on display
"
./images/train/113.jpg,"the atrium of a shopping mall with trees and plants
"
./images/train/1130.jpg,"two leather trays on display in a museum
"
./images/train/1131.jpg,"a light shining on a knife in the dark
"
./images/train/1132.jpg,"a group of people standing outside of a building covered in flowers
"
./images/train/1133.jpg,"a table with many different types of butterflies
"
./images/train/1134.jpg,"a display of butterflies in frames
"
./images/train/1135.jpg,"a butterfly is displayed in a frame on a shelf
"
./images/train/1136.jpg,"a large black and white map on display
"
./images/train/1137.jpg,"a sword is shown in the dark with a light shining on it
"
./images/train/1138.jpg,"a large brown cake sitting on a table
"
./images/train/1139.jpg,"a blue sports car is on display at a showroom
"
./images/train/114.jpg,"a tall building with a blue and red light on it
"
./images/train/1140.jpg,"a black motorcycle parked on the side of the road
"
./images/train/1141.jpg,"a motorcycle parked on the side of the road
"
./images/train/1142.jpg,"a large pool with a large blue shape in front of a building
"
./images/train/1143.jpg,"a sign with chinese writing on it
"
./images/train/1144.jpg,"a pink and white spiral staircase with a mirror on the ceiling
"
./images/train/1145.jpg,"a large screen with chinese writing on it
"
./images/train/1146.jpg,"a window with a view of a city street
"
./images/train/1147.jpg,"two small objects on display in a glass case
"
./images/train/1148.jpg,"a row of parked motorcycles in the snow
"
./images/train/1149.jpg,"a display of a carved wooden table with animals on it
"
./images/train/115.jpg,"people walking down the stairs at night
"
./images/train/1150.jpg,"a person taking a photo of a sword on a phone
"
./images/train/1151.jpg,"three small statues of dragons on display in a museum
"
./images/train/1152.jpg,"a golden vase on display in a museum
"
./images/train/1153.jpg,"a bridge with white metal arches
"
./images/train/1154.jpg,"a display case with four different types of batteries
"
./images/train/1155.jpg,"a metal tray with a metal lid
"
./images/train/1156.jpg,"two small tables with pictures of anime characters on them
"
./images/train/1157.jpg,"a long knife is on the floor
"
./images/train/1158.jpg,"a large vase on a table with a person standing in front of it
"
./images/train/1159.jpg,"a large display of swords in a museum
"
./images/train/116.jpg,"a small white object on a table
"
